# ang                   flam                  
  0.3                   4.5801400373996305E8  
  0.3141388955299962    4.373995168289137E8   
  0.32894415228268614   4.177128554147614E8   
  0.3444456628794577    3.989140114970033E8   
  0.3606792670235008    3.8095952189299554E8  
  0.37767795527777037   3.638131355083524E8   
  0.3954777857899536    3.474384808935062E8   
  0.4141146973892889    3.318022808372386E8   
  0.4336317788686993    3.168683842324987E8   
  0.4540686936017358    3.0260663872701675E8  
  0.47546879300932504   2.889867918614253E8   
  0.49787528506009193   2.759811648521671E8   
  0.5213399738681975    2.635596885128297E8   
  0.5459105452886421    2.5169728320477578E8  
  0.5716391191838399    2.4036878602389622E8  
  0.5985776429486348    2.295511747567556E8   
  0.6267883988161085    2.192194389390757E8   
  0.6563287177836903    2.0935271823238117E8  
  0.68726126169729      1.9993008304098153E8  
  0.719648485051228     1.9093238431844658E8  
  0.7535652675460923    1.8233881926303682E8  
  0.7890805361889851    1.7413203699790734E8  
  0.8262696270754165    1.6629462904056084E8  
  0.8652076270094989    1.5881066790512747E8  
  0.9059845611763095    1.5166285057174316E8  
  0.9486832980505138    1.448367452071162E8   
  0.9933944115244753    1.3831787206365168E8  
  1.0402127442065636    1.3209240310432442E8  
  1.0892328248655978    1.2614768668851258E8  
  1.1405679885943223    1.2046997855106461E8  
  1.1943225607129653    1.1504781508938742E8  
  1.2506105670964258    1.098696946412373E8   
  1.309545656301537     1.0492509402845144E8  
  1.3712640870555626    1.002025812672081E8   
  1.4358912859586097    9.569262134650886E7   
  1.5035643422406118    9.138564759871145E7   
  1.574419891495492     8.727290722392549E7   
  1.6486217527161677    8.33448915105058E7    
  1.7263207218166112    7.959366958035362E7   
  1.8076816162733869    7.601128422451602E7   
  1.8928687081727125    7.259045517986959E7   
  1.9820789512288886    6.932327344316852E7   
  2.0754936419743206    6.620314239617843E7   
  2.1733109345644746    6.322344351961048E7   
  2.275728327451516     6.03781213532907E7    
  2.3829826110398162    5.76605974736981E7    
  2.4952917516641144    5.50653850518096E7    
  2.612893982976247     5.258697904209534E7   
  2.736026750299434     5.02203427312804E7    
  2.8649747382652966    4.796000442404784E7   
  3.0                   4.580140037399631E7   
  3.141388955299962     4.373995168289137E7   
  3.2894415228268614    4.177128554147614E7   
  3.4444566287945775    3.989140114970033E7   
  3.6067926702350084    3.8095952189299546E7  
  3.776779552777704     3.638131355083524E7   
  3.954777857899536     3.474384808935062E7   
  4.141146973892889     3.3180228083723865E7  
  4.336317788686993     3.168683842324987E7   
  4.540686936017358     3.0260663872701675E7  
  4.75468793009325      2.889867918614253E7   
  4.978752850600918     2.759811648521672E7   
  5.213399738681975     2.6355968851282973E7  
  5.459105452886421     2.516972832047758E7   
  5.716391191838399     2.4036878602389622E7  
  5.985776429486348     2.2955117475675557E7  
  6.267883988161085     2.192194389390757E7   
  6.563287177836902     2.0935271823238116E7  
  6.8726126169729005    1.999300830409815E7   
  7.19648485051228      1.909323843184466E7   
  7.535652675460923     1.823388192630368E7   
  7.89080536188985      1.741320369979074E7   
  8.262696270754166     1.6629462904056083E7  
  8.652076270094991     1.5881066790512744E7  
  9.059845611763096     1.5166285057174314E7  
  9.486832980505136     1.448367452071162E7   
  9.933944115244753     1.3831787206365168E7  
  10.402127442065638    1.3209240310432442E7  
  10.892328248655978    1.2614768668851256E7  
  11.405679885943222    1.2046997855106464E7  
  11.943225607129655    1.1504781508938741E7  
  12.506105670964258    1.0986969464123731E7  
  13.09545656301537     1.0492509402845144E7  
  13.712640870555626    1.0020258126720808E7  
  14.358912859586098    9569262.134650886     
  15.035643422406121    9138564.759871144     
  15.744198914954923    8727290.722392548     
  16.486217527161678    8334489.151050581     
  17.263207218166112    7959366.958035363     
  18.076816162733866    7601128.422451603     
  18.928687081727126    7259045.517986958     
  19.820789512288883    6932327.344316852     
  20.75493641974321     6620314.239617842     
  21.733109345644746    6322344.351961048     
  22.757283274515164    6037812.13532907      
  23.82982611039816     5766059.747369811     
  24.952917516641143    5506538.5051809605    
  26.128939829762476    5258697.904209533     
  27.360267502994343    5022034.27312804      
  28.64974738265296     4796000.442404784     
  30.0                  4580140.037399631     
  31.413889552999613    4373995.168289137     
  32.89441522826861     4177128.5541476137    
  34.444566287945776    4082059.035236277     
  36.06792670235008     3898332.005353181     
  37.76779552777704     3722874.2389026517    
  39.54777857899535     3555313.5493982467    
  41.411469738928886    3395309.4134770175    
  43.36317788686993     3242491.8994020056    
  45.40686936017357     3168680.3632447035    
  47.5468793009325      3096549.060389112     
  49.78752850600919     2957191.265398256     
  52.13399738681975     2889874.2645291854    
  54.59105452886421     2824089.656461023     
  57.163911918383995    2824086.5557305203    
  59.85776429486348     2759812.406061186     
  62.67883988161085     2759809.3759043748    
  65.63287177836902     2696985.542921355     
  68.726126169729       2696982.581745771     
  71.96484850512279     2696991.4652822763    
  75.35652675460923     2635597.608572155     
  78.9080536188985      2635594.714797916     
  82.62696270754164     2635592.5444693216    
  86.5207627009499      2635601.225794421     
  90.59845611763096     2635598.332016211     
  94.86832980505139     2635595.4382411772    
  99.33944115244752     2696983.3220393625    
  104.02127442065638    2696980.3608662165    
  108.92328248655978    2696989.984690827     
  114.05679885943222    2696987.023510366     
  119.43225607129655    2696984.062333157     
  125.0610567096426     2759801.800526902     
  130.9545656301537     2759810.890982365     
  137.12640870555626    2759807.8608272164    
  143.58912859586098    2759805.5882130396    
  150.3564342240612     2759802.558063714     
  157.4419891495492     2824095.857932241     
  164.86217527161674    2824092.75719493      
  172.6320721816611     2824089.6564610233    
  180.76816162733866    2824086.5557305207    
