3.809780517579999923e+03 1.251450921000000103e-16 4.916194340000000100e-17
3.810658935550000024e+03 1.212613686999999964e-16 4.918836720000000243e-17
3.811535644529999900e+03 7.552001100000001032e-17 4.795726460000000445e-17
3.812412597659999847e+03 5.639951170000000006e-17 4.724718130000000668e-17
3.813291748050000024e+03 5.059498690000000211e-17 4.733456740000000469e-17
3.814168945309999799e+03 9.147583879999999531e-17 4.862579939999999958e-17
3.815048339840000153e+03 1.444670281000000131e-16 5.006161330000000899e-17
3.815926025390000177e+03 3.443136120000000600e-17 4.813567929999999796e-17
3.816805908199999976e+03 1.554551675000000228e-16 5.142729730000000638e-17
3.817684082029999900e+03 2.552579830000000085e-17 4.771410129999999864e-17
3.818562255859999823e+03 5.714529920000000646e-17 4.824227110000000323e-17
3.819442871090000153e+03 8.469122960000000649e-17 4.808097670000000860e-17
3.820321533199999976e+03 5.791554370000000010e-17 4.628433260000000797e-17
3.821202392579999923e+03 7.720145999999999812e-17 4.586263630000000801e-17
3.822081542970000100e+03 7.664558380000000535e-17 4.645146699999999886e-17
3.822962890620000053e+03 3.230775350000000035e-17 4.611899610000000325e-17
3.823842285159999847e+03 1.016958894000000192e-16 4.687126499999999817e-17
3.824724121090000153e+03 1.372232528000000013e-16 4.745376080000000371e-17
3.827366455079999923e+03 7.133522720000000693e-17 4.302414260000000251e-17
3.828247070309999799e+03 3.111704169999999996e-17 4.325394020000000349e-17
3.829129638670000077e+03 4.776285320000001019e-17 4.410161490000000726e-17
3.830010742190000201e+03 1.279614382000000138e-16 4.560347959999999814e-17
3.830893798829999923e+03 5.767911800000000349e-17 4.497042290000000600e-17
3.831775146479999876e+03 5.186407899999999916e-18 4.445375000000000892e-17
3.832656494140000177e+03 1.679318367000000226e-16 4.787359970000000108e-17
3.833540527340000153e+03 6.115491579999999865e-17 4.549058650000000472e-17
3.834422363279999900e+03 1.575144656000000160e-16 4.818598739999999951e-17
3.835306640620000053e+03 1.189052108000000088e-16 4.747936360000000381e-17
